ID_Item,Data,Qtd_Vendida,Tipo_Jogo,Tipo_Midia,Classif_Etaria,Plataforma,Nota_Critica,Lead_Time,Evento_Especial
RSG-01,2026-01-01,36,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-01,27,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-01,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-01,28,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-01,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-01,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-01,57,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-01,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-02,33,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-02,29,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-02,11,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-02,23,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-02,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-02,11,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-02,41,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-02,16,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-03,37,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-03,34,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-03,13,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-03,25,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-03,11,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-03,16,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-03,60,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-03,18,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-04,39,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-04,33,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-04,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-04,31,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-04,9,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-04,16,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-04,56,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-04,25,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-05,45,RPG,Digital,18+,PS5,94,2,Promocao
RSG-02,2026-01-05,32,Esportes,Fisica,Livre,Xbox,82,5,Promocao
RSG-03,2026-01-05,16,Cartas,Fisica,12+,Switch,88,10,Promocao
RSG-04,2026-01-05,28,Acao,Digital,16+,PC,90,1,Promocao
RSG-05,2026-01-05,10,Simulacao,Fisica,Livre,PC,75,12,Promocao
RSG-06,2026-01-05,14,Luta,Digital,14+,PS5,81,2,Promocao
RSG-07,2026-01-05,56,Aventura,Fisica,10+,Switch,96,15,Promocao
RSG-08,2026-01-05,23,Estrategia,Digital,Livre,PC,84,1,Promocao
RSG-01,2026-01-06,37,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-06,28,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-06,11,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-06,24,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-06,6,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-06,12,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-06,47,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-06,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-07,36,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-07,23,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-07,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-07,24,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-07,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-07,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-07,55,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-07,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-08,32,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-08,27,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-08,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-08,27,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-08,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-08,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-08,44,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-08,15,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-09,37,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-09,31,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-09,11,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-09,27,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-09,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-09,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-09,51,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-09,20,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-10,66,RPG,Digital,18+,PS5,94,2,Lancamento
RSG-02,2026-01-10,62,Esportes,Fisica,Livre,Xbox,82,5,Lancamento
RSG-03,2026-01-10,17,Cartas,Fisica,12+,Switch,88,10,Lancamento
RSG-04,2026-01-10,51,Acao,Digital,16+,PC,90,1,Lancamento
RSG-05,2026-01-10,15,Simulacao,Fisica,Livre,PC,75,12,Lancamento
RSG-06,2026-01-10,26,Luta,Digital,14+,PS5,81,2,Lancamento
